Date,Opponent,Princeton,Opponent,Description,W/L/T,H/A/N
9/28/1912,Stevens,65,0,9/28/1912 Princeton: 65 / Stevens: 0,W,H
10/2/1912,Rutgers,41,6,10/2/1912 Princeton: 41 / Rutgers: 6,W,H
10/5/1912,Lehigh,35,0,10/5/1912 Princeton: 35 / Lehigh: 0,W,H
10/12/1912,VPI,31,0,10/12/1912 Princeton: 31 / VPI: 0,W,H
10/19/1912,Syracuse,62,0,10/19/1912 Princeton: 62 / Syracuse: 0,W,H
10/26/1912,Dartmouth,22,7,10/26/1912 Princeton: 22 / Dartmouth: 7,W,H
11/2/1912,Harvard,6,16,11/2/1912 Princeton: 6 / Harvard: 16,L,A
11/9/1912,NYU,54,0,11/9/1912 Princeton: 54 / NYU: 0,W,H
11/16/1912,Yale,6,6,11/16/1912 Princeton: 6 / Yale: 6,T,H
9/27/1913,Rutgers,14,3,9/27/1913 Princeton: 14 / Rutgers: 3,W,H
10/2/1913,Fordham,69,0,10/2/1913 Princeton: 69 / Fordham: 0,W,H
10/11/1913,Bucknell,28,6,10/11/1913 Princeton: 28 / Bucknell: 6,W,H
10/18/1913,Syracuse,13,0,10/18/1913 Princeton: 13 / Syracuse: 0,W,H
10/25/1913,Dartmouth,0,6,10/25/1913 Princeton: 0 / Dartmouth: 6,L,H
11/1/1913,Holy Cross,54,0,11/1/1913 Princeton: 54 / Holy Cross: 0,W,H
11/8/1913,Harvard,0,3,11/8/1913 Princeton: 0 / Harvard: 3,L,H
11/15/1913,Yale,3,3,11/15/1913 Princeton: 3 / Yale: 3,T,A
9/26/1914,Rutgers,12,0,9/26/1914 Princeton: 12 / Rutgers: 0,W,H
10/3/1914,Bucknell,10,0,10/3/1914 Princeton: 10 / Bucknell: 0,W,H
10/10/1914,Syracuse,12,7,10/10/1914 Princeton: 12 / Syracuse: 7,W,H
10/17/1914,Lafayette,16,0,10/17/1914 Princeton: 16 / Lafayette: 0,W,H
10/24/1914,Dartmouth,16,12,10/24/1914 Princeton: 16 / Dartmouth: 12,W,H
10/31/1914,Williams,7,7,10/31/1914 Princeton: 7 / Williams: 7,T,H
11/7/1914,Harvard,0,20,11/7/1914 Princeton: 0 / Harvard: 20,L,A
11/14/1914,Yale,14,19,11/14/1914 Princeton: 14 / Yale: 19,L,H
9/25/1915,Georgetown,13,0,9/25/1915 Princeton: 13 / Georgetown: 0,W,H
10/2/1915,Rutgers,10,0,10/2/1915 Princeton: 10 / Rutgers: 0,W,H
10/9/1915,Syracuse,3,0,10/9/1915 Princeton: 3 / Syracuse: 0,W,H
10/16/1915,Lafayette,40,3,10/16/1915 Princeton: 40 / Lafayette: 3,W,H
10/23/1915,Williams,27,0,10/23/1915 Princeton: 27 / Williams: 0,W,H
11/6/1915,Harvard,6,10,11/6/1915 Princeton: 6 / Harvard: 10,L,H
11/13/1915,Yale,7,13,11/13/1915 Princeton: 7 / Yale: 13,L,A
9/30/1916,Holy Cross,21,0,9/30/1916 Princeton: 21 / Holy Cross: 0,W,A
10/7/1916,UNC,29,0,10/7/1916 Princeton: 29 / UNC: 0,W,H
10/14/1916,Tufts,3,0,10/14/1916 Princeton: 3 / Tufts: 0,W,H
10/21/1916,Lafayette,33,0,10/21/1916 Princeton: 33 / Lafayette: 0,W,H
10/28/1916,Dartmouth,7,3,10/28/1916 Princeton: 7 / Dartmouth: 3,W,H
11/4/1916,Bucknell,42,0,11/4/1916 Princeton: 42 / Bucknell: 0,W,H
11/11/1916,Harvard,0,3,11/11/1916 Princeton: 0 / Harvard: 3,L,A
11/18/1916,Yale,0,10,11/18/1916 Princeton: 0 / Yale: 10,L,H
10/4/1919,Trinity,28,0,10/4/1919 Princeton: 28 / Trinity: 0,W,H
10/11/1919,Lafayette,9,6,10/11/1919 Princeton: 9 / Lafayette: 6,W,H
10/18/1919,Rochester,34,0,10/18/1919 Princeton: 34 / Rochester: 0,W,H
10/25/1919,Colgate,0,7,10/25/1919 Princeton: 0 / Colgate: 7,L,H
11/1/1919,West Virginia,0,25,11/1/1919 Princeton: 0 / West Virginia: 25,L,H
11/8/1919,Harvard,10,10,11/8/1919 Princeton: 10 / Harvard: 10,T,H
11/15/1919,Yale,13,6,11/15/1919 Princeton: 13 / Yale: 6,W,A
10/2/1920,Swarthmore,17,6,10/2/1920 Princeton: 17 / Swarthmore: 6,W,H
10/9/1920,Maryland,35,0,10/9/1920 Princeton: 35 / Maryland: 0,W,H
10/16/1920,Washington and Lee,34,0,10/16/1920 Princeton: 34 / Washington and Lee: 0,W,H
10/23/1920,Navy,14,0,10/23/1920 Princeton: 14 / Navy: 0,W,H
10/30/1920,West Virginia,10,3,10/30/1920 Princeton: 10 / West Virginia: 3,W,H
11/6/1920,Harvard,14,14,11/6/1920 Princeton: 14 / Harvard: 14,T,A
11/13/1920,Yale,20,0,11/13/1920 Princeton: 20 / Yale: 0,W,H
10/1/1921,Swarthmore,21,7,10/1/1921 Princeton: 21 / Swarthmore: 7,W,H
10/8/1921,Colgate,19,0,10/8/1921 Princeton: 19 / Colgate: 0,W,H
10/15/1921,Navy,0,13,10/15/1921 Princeton: 0 / Navy: 13,L,A
10/22/1921,Chicago,0,9,10/22/1921 Princeton: 0 / Chicago: 9,L,H
10/29/1921,UVA,34,0,10/29/1921 Princeton: 34 / UVA: 0,W,H
11/5/1921,Harvard,10,3,11/5/1921 Princeton: 10 / Harvard: 3,W,H
11/12/1921,Yale,7,13,11/12/1921 Princeton: 7 / Yale: 13,L,A
9/30/1922,Johns Hopkins,30,0,9/30/1922 Princeton: 30 / Johns Hopkins: 0,W,H
10/7/1922,UVA,5,0,10/7/1922 Princeton: 5 / UVA: 0,W,H
10/14/1922,Colgate,10,0,10/14/1922 Princeton: 10 / Colgate: 0,W,H
10/21/1922,Maryland,26,0,10/21/1922 Princeton: 26 / Maryland: 0,W,H
10/28/1922,Chicago,21,18,10/28/1922 Princeton: 21 / Chicago: 18,W,A
11/4/1922,Swarthmore,22,13,11/4/1922 Princeton: 22 / Swarthmore: 13,W,H
11/11/1922,Harvard,10,3,11/11/1922 Princeton: 10 / Harvard: 3,W,A
11/18/1922,Yale,3,0,11/18/1922 Princeton: 3 / Yale: 0,W,H
10/6/1923,Johns Hopkins,16,7,10/6/1923 Princeton: 16 / Johns Hopkins: 7,W,H
10/13/1923,Georgetown,7,0,10/13/1923 Princeton: 7 / Georgetown: 0,W,H
10/20/1923,Notre Dame,2,25,10/20/1923 Princeton: 2 / Notre Dame: 25,L,H
10/27/1923,Navy,3,3,10/27/1923 Princeton: 3 / Navy: 3,T,N
11/3/1923,Swarthmore,35,6,11/3/1923 Princeton: 35 / Swarthmore: 6,W,H
11/10/1923,Harvard,0,5,11/10/1923 Princeton: 0 / Harvard: 5,L,H
11/17/1923,Yale,0,27,11/17/1923 Princeton: 0 / Yale: 27,L,A
10/4/1924,Amherst,40,6,10/4/1924 Princeton: 40 / Amherst: 6,W,H
10/11/1924,Lehigh,0,0,10/11/1924 Princeton: 0 / Lehigh: 0,T,H
10/18/1924,Navy,17,14,10/18/1924 Princeton: 17 / Navy: 14,W,H
10/25/1924,Notre Dame,0,12,10/25/1924 Princeton: 0 / Notre Dame: 12,L,H
11/1/1924,Swarthmore,21,6,11/1/1924 Princeton: 21 / Swarthmore: 6,W,H
11/8/1924,Harvard,34,0,11/8/1924 Princeton: 34 / Harvard: 0,W,A
11/15/1924,Yale,0,10,11/15/1924 Princeton: 0 / Yale: 10,L,H
10/3/1925,Amherst,20,0,10/3/1925 Princeton: 20 / Amherst: 0,W,H
10/10/1925,Washington and Lee,15,6,10/10/1925 Princeton: 15 / Washington and Lee: 6,W,H
10/17/1925,Navy,10,10,10/17/1925 Princeton: 10 / Navy: 10,T,A
10/24/1925,Colgate,0,9,10/24/1925 Princeton: 0 / Colgate: 9,L,H
10/31/1925,Swarthmore,19,7,10/31/1925 Princeton: 19 / Swarthmore: 7,W,H
11/7/1925,Harvard,36,0,11/7/1925 Princeton: 36 / Harvard: 0,W,H
11/14/1925,Yale,25,12,11/14/1925 Princeton: 25 / Yale: 12,W,A
10/2/1926,Amherst,14,7,10/2/1926 Princeton: 14 / Amherst: 7,W,H
10/9/1926,Washington and Lee,7,7,10/9/1926 Princeton: 7 / Washington and Lee: 7,T,H
10/16/1926,Navy,13,27,10/16/1926 Princeton: 13 / Navy: 27,L,H
10/23/1926,Lehigh,7,6,10/23/1926 Princeton: 7 / Lehigh: 6,W,H
10/30/1926,Swarthmore,27,0,10/30/1926 Princeton: 27 / Swarthmore: 0,W,H
11/6/1926,Harvard,12,0,11/6/1926 Princeton: 12 / Harvard: 0,W,A
11/13/1926,Yale,10,7,11/13/1926 Princeton: 10 / Yale: 7,W,H
10/1/1927,Amherst,14,0,10/1/1927 Princeton: 14 / Amherst: 0,W,H
10/8/1927,Lehigh,42,0,10/8/1927 Princeton: 42 / Lehigh: 0,W,H
10/15/1927,Washington and Lee,13,0,10/15/1927 Princeton: 13 / Washington and Lee: 0,W,H
10/22/1927,Cornell,21,10,10/22/1927 Princeton: 21 / Cornell: 10,W,A
10/29/1927,William & Mary,35,7,10/29/1927 Princeton: 35 / William & Mary: 7,W,H
11/5/1927,Ohio State,20,7,11/5/1927 Princeton: 20 / Ohio State: 7,W,H
11/12/1927,Yale,6,14,11/12/1927 Princeton: 6 / Yale: 14,L,A
10/6/1928,Vermont,50,0,10/6/1928 Princeton: 50 / Vermont: 0,W,H
10/13/1928,UVA,0,0,10/13/1928 Princeton: 0 / UVA: 0,T,H
10/20/1928,Lehigh,47,0,10/20/1928 Princeton: 47 / Lehigh: 0,W,H
10/27/1928,Cornell,3,0,10/27/1928 Princeton: 3 / Cornell: 0,W,H
11/3/1928,Ohio State,6,6,11/3/1928 Princeton: 6 / Ohio State: 6,T,A
11/10/1928,Washington and Lee,25,12,11/10/1928 Princeton: 25 / Washington and Lee: 12,W,H
11/17/1928,Yale,12,2,11/17/1928 Princeton: 12 / Yale: 2,W,H
11/24/1928,Navy,0,9,11/24/1928 Princeton: 0 / Navy: 9,L,N
10/5/1929,Amherst,7,0,10/5/1929 Princeton: 7 / Amherst: 0,W,H
10/12/1929,Brown,12,13,10/12/1929 Princeton: 12 / Brown: 13,L,H
10/19/1929,Cornell,7,13,10/19/1929 Princeton: 7 / Cornell: 13,L,A
10/26/1929,Navy,13,13,10/26/1929 Princeton: 13 / Navy: 13,T,H
11/2/1929,Chicago,7,15,11/2/1929 Princeton: 7 / Chicago: 15,L,H
11/9/1929,Lehigh,20,0,11/9/1929 Princeton: 20 / Lehigh: 0,W,H
11/6/1929,Yale,0,13,11/6/1929 Princeton: 0 / Yale: 13,L,A
10/4/1930,Amherst,23,0,10/4/1930 Princeton: 23 / Amherst: 0,W,H
10/11/1930,Brown,0,7,10/11/1930 Princeton: 0 / Brown: 7,L,H
10/18/1930,Cornell,7,12,10/18/1930 Princeton: 7 / Cornell: 12,L,H
10/25/1930,Navy,0,31,10/25/1930 Princeton: 0 / Navy: 31,L,H
11/1/1930,Chicago,0,0,11/1/1930 Princeton: 0 / Chicago: 0,T,A
11/8/1930,Lehigh,9,13,11/8/1930 Princeton: 9 / Lehigh: 13,L,H
11/15/1930,Yale,7,10,11/15/1930 Princeton: 7 / Yale: 10,L,H
10/3/1931,Amherst,27,0,10/3/1931 Princeton: 27 / Amherst: 0,W,H
10/10/1931,Brown,7,19,10/10/1931 Princeton: 7 / Brown: 19,L,H
10/17/1931,Cornell,0,33,10/17/1931 Princeton: 0 / Cornell: 33,L,A
10/24/1931,Navy,0,15,10/24/1931 Princeton: 0 / Navy: 15,L,H
10/31/1931,Michigan,0,21,10/31/1931 Princeton: 0 / Michigan: 21,L,H
11/7/1931,Lehigh,7,19,11/7/1931 Princeton: 7 / Lehigh: 19,L,H
11/14/1931,Washington and Lee,0,6,11/14/1931 Princeton: 0 / Washington and Lee: 6,L,H
11/28/1931,Yale,14,51,11/28/1931 Princeton: 14 / Yale: 51,L,A
10/1/1932,Amherst,22,0,10/1/1932 Princeton: 22 / Amherst: 0,W,H
10/8/1932,Columbia,7,20,10/8/1932 Princeton: 7 / Columbia: 20,L,A
10/15/1932,Cornell,0,0,10/15/1932 Princeton: 0 / Cornell: 0,T,H
10/22/1932,Navy,0,0,10/22/1932 Princeton: 0 / Navy: 0,T,H
10/29/1932,Michigan,7,14,10/29/1932 Princeton: 7 / Michigan: 14,L,A
11/5/1932,Lehigh,53,0,11/5/1932 Princeton: 53 / Lehigh: 0,W,H
11/12/1932,Yale,7,7,11/12/1932 Princeton: 7 / Yale: 7,T,H
10/7/1933,Amherst,40,0,10/7/1933 Princeton: 40 / Amherst: 0,W,H
10/14/1933,Williams,45,0,10/14/1933 Princeton: 45 / Williams: 0,W,H
10/21/1933,Columbia,20,0,10/21/1933 Princeton: 20 / Columbia: 0,W,H
10/28/1933,Washington and Lee,6,0,10/28/1933 Princeton: 6 / Washington and Lee: 0,W,H
11/4/1933,Brown,33,0,11/4/1933 Princeton: 33 / Brown: 0,W,A
11/11/1933,Dartmouth,7,0,11/11/1933 Princeton: 7 / Dartmouth: 0,W,H
11/18/1933,Navy,13,0,11/18/1933 Princeton: 13 / Navy: 0,W,H
11/25/1933,Rutgers,26,6,11/25/1933 Princeton: 26 / Rutgers: 6,W,H
12/2/1933,Yale,27,2,12/2/1933 Princeton: 27 / Yale: 2,W,A
10/6/1934,Amherst,75,0,10/6/1934 Princeton: 75 / Amherst: 0,W,H
10/13/1934,Williams,35,6,10/13/1934 Princeton: 35 / Williams: 6,W,H
10/20/1934,Washington and Lee,14,12,10/20/1934 Princeton: 14 / Washington and Lee: 12,W,H
10/27/1934,Cornell,45,0,10/27/1934 Princeton: 45 / Cornell: 0,W,H
11/3/1934,Harvard,19,0,11/3/1934 Princeton: 19 / Harvard: 0,W,A
11/10/1934,Lehigh,54,0,11/10/1934 Princeton: 54 / Lehigh: 0,W,H
11/17/1934,Yale,0,7,11/17/1934 Princeton: 0 / Yale: 7,L,H
11/24/1934,Dartmouth,38,13,11/24/1934 Princeton: 38 / Dartmouth: 13,W,H
10/5/1935,Penn,7,6,10/5/1935 Princeton: 7 / Penn: 6,W,H
10/12/1935,Williams,14,7,10/12/1935 Princeton: 14 / Williams: 7,W,H
10/19/1935,Rutgers,29,6,10/19/1935 Princeton: 29 / Rutgers: 6,W,H
10/26/1935,Cornell,54,0,10/26/1935 Princeton: 54 / Cornell: 0,W,A
11/2/1935,Navy,26,0,11/2/1935 Princeton: 26 / Navy: 0,W,H
11/9/1935,Harvard,35,0,11/9/1935 Princeton: 35 / Harvard: 0,W,H
11/16/1935,Lehigh,27,0,11/16/1935 Princeton: 27 / Lehigh: 0,W,H
11/23/1935,Dartmouth,26,6,11/23/1935 Princeton: 26 / Dartmouth: 6,W,H
11/30/1935,Yale,38,7,11/30/1935 Princeton: 38 / Yale: 7,W,A
10/3/1936,Williams,27,7,10/3/1936 Princeton: 27 / Williams: 7,W,H
10/10/1936,Rutgers,20,0,10/10/1936 Princeton: 20 / Rutgers: 0,W,H
10/17/1936,Penn,0,7,10/17/1936 Princeton: 0 / Penn: 7,L,A
10/24/1936,Navy,7,0,10/24/1936 Princeton: 7 / Navy: 0,W,H
10/31/1936,Harvard,14,14,10/31/1936 Princeton: 14 / Harvard: 14,T,A
11/7/1936,Cornell,41,13,11/7/1936 Princeton: 41 / Cornell: 13,W,H
11/14/1936,Yale,23,26,11/14/1936 Princeton: 23 / Yale: 26,L,H
11/21/1936,Dartmouth,13,13,11/21/1936 Princeton: 13 / Dartmouth: 13,T,H
10/2/1937,UVA,26,0,10/2/1937 Princeton: 26 / UVA: 0,W,H
10/9/1937,Cornell,7,20,10/9/1937 Princeton: 7 / Cornell: 20,L,H
10/16/1937,Chicago,16,7,10/16/1937 Princeton: 16 / Chicago: 7,W,A
10/23/1937,Rutgers,6,0,10/23/1937 Princeton: 6 / Rutgers: 0,W,H
10/30/1937,Harvard,6,34,10/30/1937 Princeton: 6 / Harvard: 34,L,H
11/6/1937,Dartmouth,9,33,11/6/1937 Princeton: 9 / Dartmouth: 33,L,H
11/13/1937,Yale,0,26,11/13/1937 Princeton: 0 / Yale: 26,L,A
11/20/1937,Navy,26,6,11/20/1937 Princeton: 26 / Navy: 6,W,H
10/1/1938,Williams,39,0,10/1/1938 Princeton: 39 / Williams: 0,W,H
10/8/1938,Dartmouth,0,22,10/8/1938 Princeton: 0 / Dartmouth: 22,L,H
10/15/1938,Penn,13,0,10/15/1938 Princeton: 13 / Penn: 0,W,H
10/22/1938,Navy,13,13,10/22/1938 Princeton: 13 / Navy: 13,T,A
10/29/1938,Harvard,7,26,10/29/1938 Princeton: 7 / Harvard: 26,L,A
11/5/1938,Rutgers,18,20,11/5/1938 Princeton: 18 / Rutgers: 20,L,A
11/12/1938,Yale,20,7,11/12/1938 Princeton: 20 / Yale: 7,W,H
11/19/1938,Army,7,19,11/19/1938 Princeton: 7 / Army: 19,L,H
10/7/1939,Williams,26,6,10/7/1939 Princeton: 26 / Williams: 6,W,H
10/14/1939,Cornell,7,20,10/14/1939 Princeton: 7 / Cornell: 20,L,H
10/21/1939,Columbia,14,7,10/21/1939 Princeton: 14 / Columbia: 7,W,A
10/28/1939,Brown,26,12,10/28/1939 Princeton: 26 / Brown: 12,W,H
11/4/1939,Harvard,9,6,11/4/1939 Princeton: 9 / Harvard: 6,W,H
11/11/1939,Dartmouth,9,7,11/11/1939 Princeton: 9 / Dartmouth: 7,W,H
11/18/1939,Yale,20,7,11/18/1939 Princeton: 20 / Yale: 7,W,A
11/25/1939,Navy,28,0,11/25/1939 Princeton: 28 / Navy: 0,W,H
10/5/1940,Vanderbilt,7,6,10/5/1940 Princeton: 7 / Vanderbilt: 6,W,H
10/12/1940,Navy,6,12,10/12/1940 Princeton: 6 / Navy: 12,L,H
10/19/1940,Penn,28,46,10/19/1940 Princeton: 28 / Penn: 46,L,A
10/26/1940,Rutgers,28,13,10/26/1940 Princeton: 28 / Rutgers: 13,W,H
11/2/1940,Harvard,0,0,11/2/1940 Princeton: 0 / Harvard: 0,T,A
11/9/1940,Dartmouth,14,9,11/9/1940 Princeton: 14 / Dartmouth: 9,W,H
11/16/1940,Yale,10,7,11/16/1940 Princeton: 10 / Yale: 7,W,H
11/23/1940,Army,26,19,11/23/1940 Princeton: 26 / Army: 19,W,H
10/4/1941,Williams,20,7,10/4/1941 Princeton: 20 / Williams: 7,W,H
10/11/1941,Columbia,0,21,10/11/1941 Princeton: 0 / Columbia: 21,L,H
10/18/1941,Penn,0,23,10/18/1941 Princeton: 0 / Penn: 23,L,H
10/25/1941,Vanderbilt,7,46,10/25/1941 Princeton: 7 / Vanderbilt: 46,L,A
11/1/1941,Harvard,4,6,11/1/1941 Princeton: 4 / Harvard: 6,L,H
11/8/1941,Dartmouth,13,20,11/8/1941 Princeton: 13 / Dartmouth: 20,L,H
11/15/1941,Yale,20,6,11/15/1941 Princeton: 20 / Yale: 6,W,A
11/22/1941,Navy,0,23,11/22/1941 Princeton: 0 / Navy: 23,L,H
9/26/1942,Lakehurst,20,6,9/26/1942 Princeton: 20 / Lakehurst: 6,W,H
10/3/1942,Williams,7,19,10/3/1942 Princeton: 7 / Williams: 19,L,H
10/10/1942,Navy,10,0,10/10/1942 Princeton: 10 / Navy: 0,W,N
10/17/1942,Penn,6,6,10/17/1942 Princeton: 6 / Penn: 6,T,A
10/24/1942,Brown,32,13,10/24/1942 Princeton: 32 / Brown: 13,W,H
10/31/1942,Harvard,14,19,10/31/1942 Princeton: 14 / Harvard: 19,L,A
11/7/1942,Dartmouth,7,19,11/7/1942 Princeton: 7 / Dartmouth: 19,L,H
11/14/1942,Yale,6,13,11/14/1942 Princeton: 6 / Yale: 13,L,N
11/21/1942,Army,7,40,11/21/1942 Princeton: 7 / Army: 40,L,N
9/25/1943,Penn,9,47,9/25/1943 Princeton: 9 / Penn: 47,L,A
10/2/1943,Columbia,26,7,10/2/1943 Princeton: 26 / Columbia: 7,W,A
10/9/1943,Cornell,0,30,10/9/1943 Princeton: 0 / Cornell: 30,L,H
10/30/1943,Brown,20,28,10/30/1943 Princeton: 20 / Brown: 28,L,H
11/7/1943,Villanova,22,45,11/7/1943 Princeton: 22 / Villanova: 45,L,H
11/13/1943,Yale,6,27,11/13/1943 Princeton: 6 / Yale: 27,L,A
11/20/1943,Dartmouth,13,42,11/20/1943 Princeton: 13 / Dartmouth: 42,L,H
11/11/1944,Muhlenberg,16,6,11/11/1944 Princeton: 16 / Muhlenberg: 6,,H
11/18/1944,Swarthmore,0,3,11/18/1944 Princeton: 0 / Swarthmore: 3,,H
11/25/1944,Altantic City NAS,6,31,11/25/1944 Princeton: 6 / Altantic City NAS: 31,,H
10/6/1945,Lafayette,7,7,10/6/1945 Princeton: 7 / Lafayette: 7,T,H
10/13/1945,Cornell,14,6,10/13/1945 Princeton: 14 / Cornell: 6,W,A
10/27/1945,Rutgers,14,6,10/27/1945 Princeton: 14 / Rutgers: 6,W,H
11/3/1945,Penn,0,28,11/3/1945 Princeton: 0 / Penn: 28,L,A
11/10/1945,Dartmouth,13,13,11/10/1945 Princeton: 13 / Dartmouth: 13,T,H
11/17/1945,Columbia,7,32,11/17/1945 Princeton: 7 / Columbia: 32,L,H
11/24/1945,Yale,14,20,11/24/1945 Princeton: 14 / Yale: 20,L,H
10/5/1946,Brown,33,12,10/5/1946 Princeton: 33 / Brown: 12,W,H
10/12/1946,Harvard,12,13,10/12/1946 Princeton: 12 / Harvard: 13,L,H
10/19/1946,Rutgers,14,7,10/19/1946 Princeton: 14 / Rutgers: 7,W,H
10/26/1946,Cornell,7,14,10/26/1946 Princeton: 7 / Cornell: 14,L,H
11/2/1946,Penn,17,14,11/2/1946 Princeton: 17 / Penn: 14,W,A
11/9/1946,UVA,6,20,11/9/1946 Princeton: 6 / UVA: 20,L,H
11/16/1946,Yale,2,30,11/16/1946 Princeton: 2 / Yale: 30,L,A
11/23/1946,Dartmouth,13,20,11/23/1946 Princeton: 13 / Dartmouth: 20,L,H
10/4/1947,Brown,21,7,10/4/1947 Princeton: 21 / Brown: 7,W,H
10/11/1947,Rutgers,7,13,10/11/1947 Princeton: 7 / Rutgers: 13,L,A
10/18/1947,Colgate,20,7,10/18/1947 Princeton: 20 / Colgate: 7,W,H
10/25/1947,Cornell,21,28,10/25/1947 Princeton: 21 / Cornell: 28,L,H
11/1/1947,Penn,7,26,11/1/1947 Princeton: 7 / Penn: 26,L,A
11/8/1947,Harvard,33,7,11/8/1947 Princeton: 33 / Harvard: 7,W,A
11/15/1947,Yale,17,0,11/15/1947 Princeton: 17 / Yale: 0,W,H
11/22/1947,Dartmouth,14,12,11/22/1947 Princeton: 14 / Dartmouth: 12,W,H
10/2/1948,Brown,20,23,10/2/1948 Princeton: 20 / Brown: 23,L,H
10/9/1948,Penn,7,29,10/9/1948 Princeton: 7 / Penn: 29,L,A
10/16/1948,Rutgers,6,22,10/16/1948 Princeton: 6 / Rutgers: 22,L,H
